"Property","ISO 标准气缸","ISO 标准气缸"
"Comparison","DSBG-160-80-PPVA-N3","DSBC-100-80-PPVA-N3"
"未税单价","¥0.00","¥0.00"
"希望交货日期","2025/09/04","2025/09/04"
"工作压力","0.06 Mpa ... 1 Mpa","0.04 Mpa ... 1.2 Mpa"
"派生型","一端活塞杆","一端活塞杆"
"工作模式","双作用","双作用"
"油漆湿润缺陷物质（PWIS）符合性","VDMA24364-B1/B2-L","VDMA24364-B1/B2-L"
"6 bar 时的理论力值，返回行程","11310 N","4418 N"
"安装方式","要么： 通过内螺纹安装 带附件","要么： 通过内螺纹安装 带附件"
"耐腐蚀等级 CRC","2 - 中等耐腐蚀能力","2 - 中等耐腐蚀能力"
"活塞杆密封刮油器材料","NBR","TPE-U(PU)"
"6 bar 时的理论力值，前进行程","12064 N","4712 N"
"活塞密封件材料","NBR","TPE-U(PU)"
"有环螺钉材料","","镀锌钢"
"工作和先导介质说明","可用润滑介质工作（之后须一直润滑介质工作）","可用润滑介质工作（之后须一直润滑介质工作）"
"缓冲活塞的材料","聚甲醛","聚甲醛"
"缓冲器密封件材料","TPE-U(PU)","TPE-U(PU)"
"活塞杆螺纹","M36x2","M20x1.5"
"凸缘螺母材料","镀锌钢",""
"缓冲长度","48 mm","31 mm"
"缓冲","气动缓冲，两端可调","气动缓冲，两端可调"
"位置检测","通过接近开关","通过接近开关"
"每 10 mm 行程的额外移动质量","97 g","39 g"
"0 mm 行程的移动质量","4292 g","1000 g"
"材料说明","RoHS 合规","RoHS 合规"
"符合标准","ISO 15552","ISO 15552"
"工作介质","压缩空气，符合 ISO 8573-1:2010 [7:4:4]","压缩空气，符合 ISO 8573-1:2010 [7:4:4]"
"每 10 m 行程的附加重量","208 g","101 g"
"端位的冲击能量","3.3 J","2.5 J"
"0 mm 行程的基本重量","11751 g","3665 g"
"气动接口","G3/4","G1/2"
"环境温度","-20 °C ... 80 °C","-20 °C ... 80 °C"
"移动质量","5068 g","1312 g"
"行程","80 mm","80 mm"
"产品重量","13415 g","4473 g"
"活塞材料","铸铝","精制铝合金"
"活塞直径","160 mm","100 mm"
"结构特点","缸径 活塞杆 连杆 缸筒","缸径 活塞杆 缸筒型材"
"缸筒材料","光滑阳极氧化精制铝合金","光滑阳极氧化精制铝合金"
"活塞杆端部","外螺纹","外螺纹"
"工作压力","0.6 bar ... 10 bar","0.4 bar ... 12 bar"
"盖子材料","涂层铸铝","带涂层的压铸铝"
"安装位置","可选","可选"
"活塞杆材料","高合金钢","高合金钢"
"符号","00991235","00991235"
"轴承材料","金属聚合物","POM"
"螺母材料","镀锌钢","镀锌钢"
"拉杆材料","高合金钢",""
