"LineNo","DateTime","Hour","Channel","ThresholdA","CutoffA","CbMs","ArrivalDelayMs","Dev","N","FsHz","ImaxA"
"83","2025/12/28 2:46:04","2025-12-28 02:00","3","10","8.273","31.93","0.15","1","20","1000","9.354"
"101","2025/12/28 2:47:34","2025-12-28 02:00","3","10","8.133","31.91","0.66","1","20","1000","9.843"
"118","2025/12/28 2:49:03","2025-12-28 02:00","5","10","8.475","31.89","0.1","1","20","1000","9.745"
"147","2025/12/28 2:51:33","2025-12-28 02:00","1","10","8.59","31","0.63","1","20","1000","10.574"
"165","2025/12/28 2:53:03","2025-12-28 02:00","1","10","8.318","31.94","0.23","1","20","1000","10.368"
"177","2025/12/28 2:54:03","2025-12-28 02:00","1","10","8.223","31.86","0.28","1","20","1000","10.873"
"184","2025/12/28 2:54:33","2025-12-28 02:00","5","10","8.464","31.91","0.39","1","20","1000","9.324"
"191","2025/12/28 2:55:04","2025-12-28 02:00","3","10","8.174","31.92","-0.08","1","20","1000","9.621"
"220","2025/12/28 2:57:33","2025-12-28 02:00","5","10","8.644","31.96","0.93","1","20","1000","10.981"
"221","2025/12/28 2:57:34","2025-12-28 02:00","3","10","8.318","31.91","0.08","1","20","1000","9.788"
"226","2025/12/28 2:58:03","2025-12-28 02:00","5","10","8.463","31.92","0.79","1","20","1000","10.546"
"243","2025/12/28 2:59:33","2025-12-28 02:00","1","10","8.219","31.94","0.45","1","20","1000","9.457"
"250","2025/12/28 3:00:03","2025-12-28 03:00","5","10","8.488","31.88","0.03","1","20","1000","10.135"
"268","2025/12/28 3:01:33","2025-12-28 03:00","5","10","8.574","31.91","0.25","1","20","1000","10.968"
"298","2025/12/28 3:04:03","2025-12-28 03:00","5","10","8.723","31.86","0.18","1","20","1000","11.029"
"352","2025/12/28 3:08:33","2025-12-28 03:00","5","10","8.562","31.92","0.78","1","20","1000","9.999"
"370","2025/12/28 3:10:03","2025-12-28 03:00","5","10","8.666","31.94","0.14","1","20","1000","10.421"
"383","2025/12/28 3:11:04","2025-12-28 03:00","3","10","8.313","31.94","0.62","1","20","1000","9.843"
"437","2025/12/28 3:15:34","2025-12-28 03:00","3","10","8.228","31.96","0.1","1","20","1000","9.737"
"442","2025/12/28 3:16:03","2025-12-28 03:00","5","10","8.81","31.95","0","1","20","1000","11.505"
"449","2025/12/28 3:16:34","2025-12-28 03:00","3","10","8.103","31.94","0.22","1","20","1000","9.959"
"507","2025/12/28 3:21:33","2025-12-28 03:00","1","10","8.138","31.84","0.83","1","20","1000","10.368"
"508","2025/12/28 3:21:33","2025-12-28 03:00","5","10","8.638","31.9","0.76","1","20","1000","10.817"
"509","2025/12/28 3:21:34","2025-12-28 03:00","3","10","8.324","31.98","-0.04","1","20","1000","10.522"
"533","2025/12/28 3:23:33","2025-12-28 03:00","3","10","8.116","31.94","-0.03","1","20","1000","9.553"
"556","2025/12/28 3:25:33","2025-12-28 03:00","5","10","8.435","31.92","0.4","1","20","1000","9.822"
"580","2025/12/28 3:27:33","2025-12-28 03:00","5","10","8.427","31.92","0.93","1","20","1000","9.996"
"593","2025/12/28 3:28:34","2025-12-28 03:00","3","10","8.309","31.94","0.74","1","20","1000","9.701"
"609","2025/12/28 3:30:03","2025-12-28 03:00","1","10","8.344","31.96","0.37","1","20","1000","10.049"
"610","2025/12/28 3:30:03","2025-12-28 03:00","5","10","8.476","31.9","0.35","1","20","1000","11.032"
"621","2025/12/28 3:31:03","2025-12-28 03:00","1","10","8.474","31.85","0.92","1","20","1000","10.117"
"663","2025/12/28 3:34:33","2025-12-28 03:00","1","10","8.288","31.89","0.84","1","20","1000","9.914"
"669","2025/12/28 3:35:03","2025-12-28 03:00","1","10","8.386","31.92","0.27","1","20","1000","10.326"
"671","2025/12/28 3:35:04","2025-12-28 03:00","3","10","8.344","31.94","0.66","1","20","1000","10.178"
"683","2025/12/28 3:36:04","2025-12-28 03:00","3","10","8.106","31.99","0.15","1","20","1000","10.313"
"724","2025/12/28 3:39:33","2025-12-28 03:00","5","10","8.513","31.71","0.22","1","20","1000","11.119"
"741","2025/12/28 3:41:03","2025-12-28 03:00","1","10","8.265","31.92","0.08","1","20","1000","10.561"
"771","2025/12/28 3:43:33","2025-12-28 03:00","1","10","8.181","31.93","0.9","1","20","1000","9.644"
"773","2025/12/28 3:43:34","2025-12-28 03:00","3","10","8.073","31.9","0.08","1","20","1000","10.2"
"820","2025/12/28 3:47:33","2025-12-28 03:00","5","10","8.478","31.92","0.86","1","20","1000","10.36"
"827","2025/12/28 3:48:04","2025-12-28 03:00","3","10","8.32","31.89","0.17","1","20","1000","10.245"
"831","2025/12/28 3:48:33","2025-12-28 03:00","1","10","8.164","31.93","0.55","1","20","1000","9.827"
"832","2025/12/28 3:48:33","2025-12-28 03:00","5","10","8.675","31.91","0.52","1","20","1000","10.466"
"855","2025/12/28 3:50:33","2025-12-28 03:00","1","10","8.492","31.94","0.21","1","20","1000","10.577"
"873","2025/12/28 3:52:03","2025-12-28 03:00","1","10","8.37","31.95","0.3","1","20","1000","10.374"
"875","2025/12/28 3:52:04","2025-12-28 03:00","3","10","8.295","31.91","0.43","1","20","1000","9.952"
"879","2025/12/28 3:52:33","2025-12-28 03:00","1","10","8.122","31.96","0.22","1","20","1000","10.48"
"891","2025/12/28 3:53:33","2025-12-28 03:00","1","10","8.212","31.93","0.58","1","20","1000","10.454"
"893","2025/12/28 3:53:34","2025-12-28 03:00","3","10","8.364","31.93","0.72","1","20","1000","10.48"
"928","2025/12/28 3:56:33","2025-12-28 03:00","5","10","8.61","31.88","0.81","1","20","1000","10.527"
"933","2025/12/28 3:57:03","2025-12-28 03:00","1","10","8.211","31.91","0.58","1","20","1000","10.236"
"951","2025/12/28 3:58:33","2025-12-28 03:00","1","10","8.388","31.9","0.1","1","20","1000","9.544"
"953","2025/12/28 3:58:34","2025-12-28 03:00","3","10","8.234","31.93","0.23","1","20","1000","10.416"
"958","2025/12/28 3:59:03","2025-12-28 03:00","5","10","8.601","31.93","0.77","1","20","1000","9.871"
"964","2025/12/28 3:59:33","2025-12-28 03:00","5","10","8.678","31.92","0.5","1","20","1000","9.877"
"981","2025/12/28 4:01:03","2025-12-28 04:00","1","10","8.254","31.89","0.85","1","20","1000","10.088"
"1005","2025/12/28 4:03:03","2025-12-28 04:00","1","10","8.318","31.78","-0.06","1","20","1000","10.01"
