SampleIndex,EpbCurrent
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0.003
60,0.003
61,0.003
62,0.003
63,0.003
64,0.006
65,0.006
66,1.075
67,8.925
68,8.925
69,9.353
70,9.353
71,9.353
72,9.353
73,9.353
74,9.353
75,9.353
76,9.353
77,9.353
78,9.353
79,9.353
80,9.353
81,9.353
82,9.353
83,9.015
84,8.925
85,8.378
86,8.092
87,7.683
88,7.574
89,7.284
90,7.181
91,6.518
92,5.901
93,5.891
94,5.778
95,5.682
96,5.453
97,5.022
98,4.948
99,4.91
100,4.826
101,4.742
102,4.569
103,4.498
104,4.446
105,4.109
106,3.983
107,3.858
108,3.822
109,3.684
110,3.581
111,3.43
112,3.43
113,3.369
114,3.301
115,3.295
116,3.266
117,3.249
118,3.031
119,3.002
120,2.999
121,2.944
122,2.68
123,2.68
124,2.677
125,2.612
126,2.561
127,2.561
128,2.4
129,2.278
130,2.249
131,2.249
132,2.233
133,2.201
134,2.172
135,2.201
136,2.201
137,2.172
138,2.172
139,2.172
140,2.101
141,2.072
142,2.072
143,1.908
144,1.908
145,1.834
146,1.834
147,1.831
148,1.831
149,1.831
150,1.831
151,1.805
152,1.663
153,1.805
154,1.805
155,1.663
156,1.625
157,1.625
158,1.625
159,1.609
160,1.557
161,1.557
162,1.609
163,1.609
164,1.557
165,1.525
166,1.525
167,1.525
168,1.525
169,1.509
170,1.509
171,1.509
172,1.509
173,1.48
174,1.48
175,1.48
176,1.48
177,1.48
178,1.48
179,1.48
180,1.432
181,1.432
182,1.432
183,1.432
184,1.432
185,1.374
186,1.374
187,1.432
188,1.432
189,1.374
190,1.374
191,1.374
192,1.374
193,1.374
194,1.335
195,1.335
196,1.335
197,1.367
198,1.335
199,1.235
200,1.235
201,1.335
202,1.367
203,1.335
204,1.235
205,1.235
206,1.335
207,1.335
208,1.235
209,1.223
210,1.223
211,1.335
212,1.223
213,1.21
214,1.152
215,1.21
216,1.223
217,1.335
218,1.21
219,1.152
220,1.21
221,1.335
222,1.21
223,1.152
224,1.152
225,1.335
226,1.367
227,1.335
228,1.152
229,1.152
230,1.335
231,1.39
232,1.335
233,1.245
234,1.245
235,1.3
236,1.335
237,1.3
238,1.245
239,1.3
240,1.335
241,1.351
242,1.335
243,1.3
244,1.335
245,1.351
246,1.364
247,1.351
248,1.335
249,1.351
250,1.364
251,1.364
252,1.351
253,1.313
254,1.351
255,1.364
256,1.351
257,1.319
258,1.313
259,1.319
260,1.351
261,1.351
262,1.319
263,1.313
264,1.319
265,1.351
266,1.351
267,1.319
268,1.313
269,1.319
270,1.351
271,1.319
272,1.313
273,1.309
274,1.313
275,1.319
276,1.319
277,1.313
278,1.309
279,1.313
280,1.319
281,1.313
282,1.309
283,1.306
284,1.309
285,1.319
286,1.309
287,1.306
288,1.306
289,1.306
290,1.309
291,1.309
292,1.306
293,1.306
294,1.306
295,1.309
296,1.306
297,1.306
298,1.284
299,1.306
300,1.309
301,1.306
302,1.306
303,1.284
304,1.306
305,1.306
306,1.306
307,1.306
308,1.284
309,1.306
310,1.306
311,1.306
312,1.3
313,1.3
314,1.306
315,1.306
316,1.306
317,1.3
318,1.297
319,1.3
320,1.306
321,1.306
322,1.3
323,1.297
324,1.3
325,1.306
326,1.3
327,1.3
328,1.3
329,1.3
330,1.306
331,1.306
332,1.3
333,1.3
334,1.3
335,1.306
336,1.306
337,1.3
338,1.3
339,1.3
340,1.306
341,1.306
342,1.3
343,1.3
344,1.306
345,1.316
346,1.316
347,1.306
348,1.306
349,1.316
350,1.322
351,1.322
352,1.316
353,1.306
354,1.316
355,1.322
356,1.316
357,1.309
358,1.309
359,1.316
360,1.322
361,1.316
362,1.316
363,1.316
364,1.316
365,1.322
366,1.322
367,1.316
368,1.316
369,1.316
370,1.316
371,1.316
372,1.316
